pealkiri;nimetus
Turuinfo esitamise, kogumise, töötlemise ja Euroopa Komisjonile turuinfo edastamise täpsemad nõuded ja kord ning turuinfo esitamise kohustuse täitmise ja esitatud andmete õigsuse üle järelevalve teostamise kord;Turuinfo esitamine (lehmatoorpiim)
Põllumajandusliku tegevusega alustava noore ettevõtja toetuse saamise nõuded, toetuse taotlemise ja taotluse menetlemise täpsem kord;Noorte põllumajandustootjate tegevuse alustamine ( MAK 2014-2020)
Väikeste põllumajandusettevõtete arendamise toetuse andmise ja kasutamise tingimused ning kord;Väikeste põllumajandusettevõtete arendamine
Põllu- ja metsamajanduse taristu arendamise ning hoiu investeeringutoetus riigi poolt korrashoitavate ühiseesvoolude uuendamiseks;Põllu- ja metsamajanduse taristu arendamine ja hoid
Põllumajandusloomade register1;Veterinaartõendi registreerimine
Põllumajandusloomade register1;Veise registreerimine EL passilt
Perekonnaseadus;Abielu registreerimine
Nimeseadus;Abielu registreerimine
Rahvastikuregistri seadus;Abielu registreerimine
Perekonnaseisutoimingute seadus;Abielu registreerimine
Nimeseadus;Uue nime andmine
Rahvastikuregistri seadus;Uue nime andmine
Riigilõivuseadus;Uue nime andmine
Nimeseadus;Sünni registreerimine
Perekonnaseadus;Sünni registreerimine
Perekonnaseisutoimingute seadus;Sünni registreerimine
Rahvastikuregistri seadus;Sünni registreerimine
Nimeseadus;Andmete parandamine ja muutmine
Perekonnaseisutoimingute seadus;Andmete parandamine ja muutmine
Rahvastikuregistri seadus;Andmete parandamine ja muutmine
Perekonnaseadus;Andmete parandamine ja muutmine
Perekonnaseadus;Surma registreerimine
Rahvastikuregistri seadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Surma registreerimine
Perekonnaseadus;Perekonnaseisutõendite väljastamine
Nimeseadus;Perekonnaseisutõendite väljastamine
Perekonnaseisutoimingute seadus;Perekonnaseisutõendite väljastamine
Rahvastikuregistri seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Perekonnaseisutoimingute seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Perekonnaseisutoimingute seadus;Abieluvõimetõendi väljastamine
Perekonnaseisutoimingute seadus;Abielu lahutamine
Perekonnaseadus;Abielu lahutamine
Rahvastikuregistri seadus;Abielu lahutamine
Nimeseadus;Abielu lahutamine
Tsiviilkohtumenetluse seadustik;Lapsendamine
Perekonnaseadus;Lapsendamine
Sotsiaalhoolekande seadus;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Arhiivieeskiri;Arhivaalide kirjeldusinfoga veebis tutvumine
Arhiiviseadus;Arhivaalide kirjeldusinfoga veebis tutvumine
Arhiivieeskiri;Arhivaalide digikujutistega veebis tutvumine
Arhiiviseadus;Arhivaalide digikujutistega veebis tutvumine
Arhiivieeskiri;Arhivaalide tellimine uurimissaali
Arhiiviseadus;Arhivaalide tellimine uurimissaali
Arhiiviseadus;Arhivaalide tellimine kauglaenutusse
Arhiivieeskiri;Arhivaalide tellimine kauglaenutusse
Arhiiviseadus;Arhivaalidest analoogkoopiate tellimine
Arhiivieeskiri;Arhivaalidest analoogkoopiate tellimine
Arhiiviseadus;Arhivaalidest digikoopiate tellimine (digiteerimine)
Arhiivieeskiri;Arhivaalidest digikoopiate tellimine (digiteerimine)
Arhiivieeskiri;Arhiiviteatiste väljastamine isikute õiguste ja tehingute tõestamiseks
Arhiiviseadus;Arhiiviteatiste väljastamine isikute õiguste ja tehingute tõestamiseks
Arhiiviseadus;Vastuskirjade väljastamine vastusena isikute muudel eesmärkidel esitatud päringutele (mitte õiguste ja tehingute tõestamiseks)
Arhiivieeskiri;Vastuskirjade väljastamine vastusena isikute muudel eesmärkidel esitatud päringutele (mitte õiguste ja tehingute tõestamiseks)
Arhiiviseadus;Arhivaalide baasil publikatsioonide avaldamine ja müük
Arhiivieeskiri;Arhivaalide baasil publikatsioonide avaldamine ja müük
Arhiiviseadus;Kasutajatele ühisloomes osalemise võimaldamine
Arhiivieeskiri;Kasutajatele ühisloomes osalemise võimaldamine
Arhiivieeskiri;Asutuste dokumendi- ja arhiivihaldusealane nõustamine
Arhiiviseadus;Asutuste dokumendi- ja arhiivihaldusealane nõustamine
Arhiivieeskiri;Avalike asutuste liigitusskeemide kooskõlastamine
Arhiiviseadus;Avalike asutuste liigitusskeemide kooskõlastamine
Arhiiviseadus;Avalike asutuste dokumentide hindamine (arhiiviväärtusliku ainese väljaselgitamine)
Arhiivieeskiri;Avalike asutuste dokumentide hindamine (arhiiviväärtusliku ainese väljaselgitamine)
Arhiivieeskiri;Avalike arhivaalide vastuvõtmine ametiasutustelt
Arhiiviseadus;Avalike arhivaalide vastuvõtmine ametiasutustelt
Arhiiviseadus;Eraõiguslike isikute dokumentide hindamine
Arhiivieeskiri;Eraõiguslike isikute dokumentide hindamine
Arhiivieeskiri;Eraõiguslike isikute arhivaalide kogumine
Arhiiviseadus;Eraõiguslike isikute arhivaalide kogumine
Asjaajamiskorra ühtsed alused;Avalike asutuste tähtajaliste digitaaldokumentide säilitamine
Avaliku teabe seadus;Rakvere Teatri koduleht
Ravimiseadus1;Ravimite  reisile kaasavõtmise või saatmise loa taotlemine
Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seadus1;Rakkude ja kudede käitlemise aasta aruannete esitamine
Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seadus1;Vere käitlemise aruannete esitamine
Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seadus1;Rakkude ja kudede ohujuhtumite aasta aruannete esitamine
Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seadus1;Rakkude, kudede ja elundite käitlemise tegevusloa taotlemine
Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seadus1;Vere käitlemise tegevusloa taotlemine
Ravimiseadus1;Ravimite sisse- või väljaveoloa taotlemine
Ravimiseadus1;Ravimite ja teiste eriluba nõudvate kaupade (toimeained, rakud-koed-elundid), sisse- ja väljaveo teavituse esitamine
Narkootiliste ja psühhotroopsete ainete ning nende lähteainete seadus[RT I 2005, 24, 180 - jõust. 20.05.2005] ;Narkootiliste ja psühhotroopsete ainete käitlemise aruannete esitamine
Ravimiseadus1;Ravimite reklaamiaruande esitamine
Ravimiseadus1;Ravimi kvaliteediprobleemi või vale ravimiinfo teate edastamine
Ravimiseadus1;Müügiloata ravimi kasutusloa taotlemine
Ravimiseadus1;Ravimite käitlemise või vahendamise tegevusloa taotlemine
Ravimiseadus1;Toote määratlemise taotluse esitamine
Ravimiseadus1;Apteegiaruannete esitamine
Ravimiseadus1;Ravimite hulgimüügi aruannete esitamine
Ravimiseadus1;Ravimi kõrvaltoime teatise esitamine
Ravimiseadus1;Pakendikoodide taotluste esitamine
Ravimiseadus1;Ravimi müügiloa, müügiloa uuendamise või muudatuse taotluse esitamine
Vereseadus1;Verevalvsuse juhtumite aastaaruannete esitamine
Vereseadus1;Verevalvsus juhtumite teatiste esitamine
Narkootiliste ja psühhotroopsete ainete ning nende lähteainete seadus[RT I 2005, 24, 180 - jõust. 20.05.2005] ;Lähteainete impordi-ekspordiluba
Narkootiliste ja psühhotroopsete ainete ning nende lähteainete seadus[RT I 2005, 24, 180 - jõust. 20.05.2005] ;Lähteainete käitlemise aastaaruande esitamine
Ravimiseadus1;Ravimite ja lähteainete käitlemise või ravimite vahendamise tegevusloa taotlemine
Narkootiliste ja psühhotroopsete ainete ning nende lähteainete seadus[RT I 2005, 24, 180 - jõust. 20.05.2005] ;Ravimite ja lähteainete käitlemise või ravimite vahendamise tegevusloa taotlemine
Narkootiliste ja psühhotroopsete ainete ning nende lähteainete seadus[RT I 2005, 24, 180 - jõust. 20.05.2005] ;Narkootiliste ja psühhotroopsete ainete teaduslikuks eesmärgiks kasutamise loa taotlemine
Narkootiliste ja psühhotroopsete ainete ning nende lähteainete seadus[RT I 2005, 24, 180 - jõust. 20.05.2005] ;Lähteainete käitlejate registreerimine
Ravimiseadus1;Koodide taotlemine
Ravimiseadus1;Kliinilise uuringu lubade andmine
Ravimiseadus1;Kliinilise uuringu kõrvalnähtudest teatamine
Ravimiseadus1;Müügiloaga ravimi võõrkeelse pakendi loa taotlemine
Ravimiseadus1;Tarnehäiretest teatamine
Ravimiseadus1;Arvamuse andmine ravimi soodusravimite loetellu kandmiseks
Ravimiseadus1;Statistiliste analüüside tellimine
Ravimiseadus1;Ravimite kvaliteedi laboratoorne hindamine
Ravimiseadus1;Ravimite, narkootiliste ja psühhotroopsete ainete ja lähteainete käitlemise inspekteerimine
Narkootiliste ja psühhotroopsete ainete ning nende lähteainete seadus[RT I 2005, 24, 180 - jõust. 20.05.2005] ;Ravimite, narkootiliste ja psühhotroopsete ainete ja lähteainete käitlemise inspekteerimine
Vereseadus1;Vere käitlejate inspekteerimine
Rakkude, kudede ja elundite käitlemise ja siirdamise seadus[RT I 2008, 25, 163 - jõust. 01.01.2009] ;Rakkude, kudede ja elundite hankijate ja käitlejate inspekteerimine
Ravimiseadus1;Kliiniliste uuringute inspekteerimine
Ravimiseadus1;Ravimiohutusalaste tegevuste inspekteerimine
Ravimiseadus1;Ravimireklaami järelevalve
Ravimiseadus1;Perioodiliste ohutusaruannete hindamine
Ravimiseadus1;Ravimite ohusignaalide tuvastamine ja analüüs
Rakkude, kudede ja elundite käitlemise ja siirdamise seadus[RT I 2008, 25, 163 - jõust. 01.01.2009] ;Rakkude, kudede ja elundite ohujuhtumite esitamine
Ravimiseadus1;Toote määratlemise taotluse esitamine
Tuleohutuse seadus;Interaktiivne kodu tuleohutuse test
Nõuded tuleohutuse enesekontrollile ja tuleohutusaruandele ning tuleohutusaruande koostamise kohustuslikkuse kriteeriumid;Tuleohutuse enesekontrolli aruannete esitamine
Ehitusseadustik1;Ehitusvaldkonna inspektori vastuvõtu broneerimine
Avaliku teabe seadus;Teabenõue Päästeametile
Infosüsteemide andmevahetuskiht;x-teega liitumine (test, toodang)
Infosüsteemide andmevahetuskiht;x-teega liitumine (arenduskeskkond)
Riigi Infosüsteemi Ameti põhimäärus;DVK dokumendi saatmise katkestamine
Riigi Infosüsteemi Ameti põhimäärus;eID kasutajatugi
Riigi Infosüsteemi Ameti põhimäärus;ID-kaardi baastarkvara allalaadimine
Riigi Infosüsteemi Ameti põhimäärus;ID-kaardi veahalduskeskkond
Riigi Infosüsteemi Ameti põhimäärus;Ametliku e-vormi portaalis avaldamine
Riigi Infosüsteemi Ameti põhimäärus;Autoriseerimisteenusega liitumine
Riigi infosüsteemi haldussüsteem;RIHAs kooskõlastamine
Riigi Infosüsteemi Ameti põhimäärus;DVK-ga liitumine
Riigi Infosüsteemi Ameti põhimäärus;BI komponentide majutus
Riigi Infosüsteemi Ameti põhimäärus;Hostelteenus
Riigi Infosüsteemi Ameti põhimäärus;Varuvõimsus
Riigi Infosüsteemi Ameti põhimäärus;Digitaalne arhiiv
Riigi Infosüsteemi Ameti põhimäärus;Inkubatsioon ehk uue teenuse majutamine juurutamisfaasis
Riigi Infosüsteemi Ameti põhimäärus;Autentimisteenusega liitumine
Infosüsteemide andmevahetuskiht;X-tee teenuste avaldamine riigiportaalis eesti.ee
Infosüsteemide andmevahetuskiht;Teavitusteenus
Riigi Infosüsteemi Ameti põhimäärus;Küberturvaintsidendist teavitamine
Riigi Infosüsteemi Ameti põhimäärus;@eesti.ee e-posti aadressi edasisuunamine
Riigi infosüsteemi haldussüsteem;Andmekogu RIHAs registreerimine
Riigi infosüsteemi haldussüsteem;Asutuse liitumine RIHAga
Eesti teabevärava eesti.ee haldamise, teabe kättesaadavaks tegemise, arendamise ning kasutamise nõuded ja kord;Ametlike dokumentide infrastruktuur
Perioodi 2014–2020 struktuuritoetuse seadus;Struktuurfondide IKT rahastustaotluse esitamine
Riigi Infosüsteemi Ameti põhimäärus;Kasutajatugi
Riigi Infosüsteemi Ameti põhimäärus;Kõrgkäideldav andmesideühendus kliendi liitumispunktis
Riigi Infosüsteemi Ameti põhimäärus;Andmesidekanal kliendi kahe punkti vahel
Riigi Infosüsteemi Ameti põhimäärus;TESTA võrguühendus kliendi liitumispunktis
Riigi Infosüsteemi Ameti põhimäärus;ISP vahetussõlm
Avaliku teabe seadus;Järelevalve
Hädaolukorra seadus;Järelevalve
Riigi Infosüsteemi Ameti põhimäärus;Järelevalve
Infosüsteemide andmevahetuskiht;x-tee sertifikaadi taotlemine (test-ja toodangukeskkonnas)
Infosüsteemide andmevahetuskiht;x-tee turvaserveri IP muutmine (test-ja toodangukeskkond)
Infosüsteemide andmevahetuskiht;x-tee turvaserveri tarkvara
Riigi Infosüsteemi Ameti põhimäärus;Ajatempel
Riigi Infosüsteemi Ameti põhimäärus;Juurnimeserverite varuvõimsus
Vabariigi Valitsuse reglement;Osalusveeb
Avaliku teabe seadus1;Infoteenus
Ministeeriumi kantslerile ja asekantslerile, Riigikantselei direktorile, ameti ja inspektsiooni peadirektorile ning määruses nimetatud teiste valitsusasutuste juhtidele esitatavad nõuded, nende värbamise ja valiku ning arendamise ja hindamise kord;Avaliku teenistuse tippjuhtide värbamine, arendamine ja hindamine
Raamatupidamise seadus1;EMTAK otsing
Kohtule dokumentide esitamise kord1;EMTAK otsing
Äriseadustik1;EMTAK otsing
Karistusregistri seadus;Karistusregistri teadete väljastamise teenus
Äriseadustik1;EMTAK-i põhine nõustamine
Keskse hankija määramine infotehnoloogia valdkonna riigihangetes;Keskne hankimine
Avaliku teabe seadus1;Teabenõude esitamine Registrite ja Infosüsteemide Keskusele
Rahvakultuuri Keskuse põhimäärus;Täiskasvanute täienduskoolitus
Rahvakultuuri Keskuse põhimäärus;Õppematerjalid
Rahvakultuuri Keskuse põhimäärus;Muinasjuturaamat
Rahvakultuuri Keskuse põhimäärus;Rahvakultuuri valdkondlik andmekogu
Rahvakultuuri Keskuse põhimäärus;Jutukool
Riigi kinnisvararegistri asutamine ja selle pidamise põhimäärus;Riigi kinnisvara valitseja registreerimine
Riigieelarve seadus1;Riigiasutuste arveldused portaalis E-riigikassa
Kassalise teenindamise eeskiri;Riigiasutuste arveldused portaalis E-riigikassa
Riigi raamatupidamise üldeeskiri;Valitsussektorisse kuuluvate üksuste finantsinfo avaandmetena jagamine
Struktuuritoetuse registri pidamise põhimäärus;Struktuuritoetuste rakendamine
Struktuuritoetuse registri pidamise põhimäärus;Struktuuritoetuste taotlemine
Riigihangete seadus1;Riigihanke läbiviimine Riigihangete registri vahendusel
Riigihangete seadus1;Taotluse/pakkumuse elektrooniline esitamine riigihankes
Riigiabi ja vähese tähtsusega abi registri põhimäärus;Riigiabi ja vähese tähtsusega abi arvestamine
Avaliku teabe seadus1;Riigi kinnisvararegistri avaandmed
Riigi kinnisvararegistri asutamine ja selle pidamise põhimäärus;Riigi kinnisvara andmete haldamine
Audiitortegevuse seadus1;Audiitortegevuse portaal
Riigivaraseadus;Riigi omandis või kasutuses oleva kinnisvara ja kinnisvara valitsejate aruanne
Riigivaraseadus;Riigi omandis või kasutuses olevate hoonete aruanne
Riigivaraseadus;Riigi omandis või kasutuses olevate rajatiste aruanne
Riigivaraseadus;Riigi omandis või kasutusesolevate maaüksuste aruanne
Riigivaraseadus;Riigi kinnisvara omandamislepingute aruanne
Riigivaraseadus;Riigi kinnisvara võõrandamislepingute aruanne
Riigivaraseadus;Riigi kinnisvara menetluste aruanne
Riigivaraseadus;Riigi kinnisvaratehingute menetlemine
Riigivaraseadus;Riigi kinnisvara tegevuskulude kavandamine
Riigivaraseadus;Riigi kinnisvara investeeringute kavandamine
Riigivaraseadus;Riigi kinnisvara kasutuslepingute haldamine
Riigivaraseadus;Riigi kinnisvaraga seonduva üldinfo ja uuringute avalikustamine (infoportaal)
Riigivaraseadus;Riigi kinnisvararegistri teadete ja teavituste tellimine e-mailile
Riigi kinnisvararegistri asutamine ja selle pidamise põhimäärus;Riigi kinnisvararegistri kasutajatugi
Perekonnaseisutoimingute seadus;Sünni registreerimine
Perekonnaseadus;Sünni registreerimine
Perekonnaseadus;Abielu registreerimine
Perekonnaseisutoimingute seadus;Abielu registreerimine
Perekonnaseadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Surma registreerimine
Perekonnaseadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Nime muutmine
Nimeseadus;Nime muutmine
Perekonnaseadus;Nime muutmine
Kinnisasja omandamise kitsendamise seadus;Loa taotlemine kinnisasja omandamiseks
Asjaõigusseadus;Isikliku kasutusõiguse seadmine riigi maale
Maareformi seadus;Maa ostueesõigusega erastamine
Riigimaa kasutusvaldusesse andmise ja riigimaale kasutusvalduse seadmise kord;Riigi maa kasutusvaldusesse andmine
Maareformi seadus;Riigi maa kasutusvaldusesse andmine
Perekonnaseadus;Lapsendamine
Tsiviilkohtumenetluse seadustik;Lapsendamine
Majandustegevuse registrisse kantavate teenuse osutaja andmete loetelu ja teavitamist vajavate muudetud andmete loetelu kehtestamine;Lapsehoiuteenuse tegevusloa taotlemine
Riigi rahastatava lapsehoiuteenuse maksimaalse maksumuse ning asenduskoduteenuse maksimaalse maksumuse ja hinna kehtestamine[RT I 2009, 24, 148 - jõust. 10.05.2009] ;Lapsehoiuteenuse tegevusloa taotlemine
